日期,星期,時間,地點,交通與備忘,住宿(住),行程與備註,,
9/15,二,23:30,桃園,,,,,
9/16,三,7:55,戴高樂,,Zenitude Hôtel-Résidences Chessy,河谷購物村（La Vallée Village）,,
9/17,四,,迪士尼,,Zenitude Hôtel-Résidences Chessy,迪士尼雙園遊玩,,
9/18,五,,迪士尼,,Zenitude Hôtel-Résidences Chessy,繼續攻略未完成設施，可到專屬商店尋找法國製聯名小物。,,
9/19,六,,巴黎,博物館通票六天,,,,
9/20,日,,巴黎,,,,,
9/21,一,,巴黎,,,,,
9/22,二,,巴黎,,,,,
9/23,三,,巴黎,上：凡爾賽宮 莫內花園 盧昂 埃特爾塔 諾曼地,,,,
9/24,四,,巴黎,下：楓丹白露 香波爾城堡 子爵,,,,
9/25,五,,聖米歇爾,"06:48 Paris Montparnasse
08:15 Rennes",Relais Saint-Michel,潮汐,,"4WCP2R
車票已買"
9/26,六,,早上聖米歇爾 晚上雷恩,,,下山走大街上山走城牆,,
9/27,日,,聖馬洛,,,修道院要先買票,,
9/28,一,,巴黎,,,,,
9/29,二,,巴黎,,,,,
9/30,三,,,,,,,
10/1,四,,巴黎,,,,,
10/2,五,,巴黎,,,,,
10/3,六,,巴黎,,,,,
10/4,日,,巴黎,,,,,
10/5,一,,巴黎,,,,,
10/6,二,11:20,戴高樂,,,,,
10/7,三,6:40,桃園,,,,,
